,Entity,Workplace Closures,Day,continent
148,Sweden,Required for some,2021-01-01,Europe
149,Switzerland,Required for some,2021-01-01,Europe
150,Syria,No measures,2021-02-16,Asia
151,Taiwan,No measures,2021-01-01,Asia
152,Tajikistan,No measures,2021-01-01,Asia
153,Tanzania,No measures,2021-01-01,Africa
154,Thailand,Recommended,2021-02-04,Asia
155,Timor,Required for all but key workers,2021-03-13,Asia
156,Togo,Required for some,2021-01-01,Africa
157,Trinidad and Tobago,Required for some,2021-01-01,North America
158,Tunisia,Recommended,2021-01-01,Africa
159,Turkey,Required for some,2021-01-01,Asia
160,Uganda,Required for some,2021-01-01,Africa
161,Ukraine,Required for some,2021-01-01,Europe
162,United Arab Emirates,Required for some,2021-01-26,Asia
163,United Kingdom,Required for all but key workers,2021-01-01,Europe
164,United States,Required for some,2021-01-01,North America
165,Uruguay,Required for some,2021-01-01,South America
166,Uzbekistan,No measures,2021-01-04,Asia
167,Vanuatu,No measures,2021-01-01,Oceania
168,Venezuela,Required for some,2021-01-01,South America
169,Vietnam,Required for some,2021-01-01,Asia
170,Yemen,No measures,2021-01-01,Asia
171,Zambia,No measures,2021-01-31,Africa
172,Zimbabwe,Required for some,2021-01-01,Africa
